Ticker,Summary,Label,Confidence,URL
TSLA,"President Trump’s pro-EV policies are a ‘game-changer,’ says Wedbush. Tesla’s valuation seen reaching $2 trillion by year-end",positive,0.9157435894012451,https://finance.yahoo.com/news/teslas-future-under-president-trump-weight-ai-potential-against-slowing-ev-demand-150331648.html
TSLA,China’s DeepSeek-R1 model is a ‘breakthrough’ in the industry. Tesla’s self-driving car technology is in early testing,positive,0.760628342628479,https://finance.yahoo.com/news/analyst-says-tesla-tsla-facing-165729425.html
TSLA,Wall Street expects lower borrowing costs to boost sales. Tesla to unveil lower-priced model in first half of 2025,positive,0.7351009845733643,https://uk.finance.yahoo.com/news/tesla-investors-pin-hopes-cheaper-112330018.html
TSLA,"Tesla stands against other best stocks to buy for high returns. Analysts at J.P. Morgan expect S&P 500 to be around 6,500 in 2025",positive,0.861246645450592,https://finance.yahoo.com/news/tesla-tsla-best-stock-buy-115413754.html
TSLA,Your information may be shared with third parties.,neutral,0.9321518540382385,https://www.google.com/search?q%3Dyahoo%2Bfinance%2BTSLA%26tbm%3Dnws%26pccc%3D1
TSLA,President Trump revokes predecessor’s pro-EV policy. Tesla has said it wouldn’t take a hit from the rollbacks,neutral,0.6731071472167969,https://finance.yahoo.com/news/tesla-stock-falls-as-trump-ends-ev-mandate-looks-to-eliminate-subsidies-152217391.html
TSLA,Analysts set Tesla's 2025 price target at $650. Tesla has delivered 101% market returns in one year,positive,0.6543174982070923,https://finance.yahoo.com/news/tesla-set-strong-2025-550-171702300.html
TSLA,"Tech giants Meta Platforms, Apple, Microsoft, Tesla are due to report.",neutral,0.677474319934845,https://finance.yahoo.com/news/p-futures-slip-meta-microsoft-080635465.html
TSLA,We are aware of the issue and are working to resolve it.,neutral,0.7725824117660522,https://finance.yahoo.com/video/tesla-earnings-kick-off-massive-180000390.html
BTC,SoftBank tumbles; Tokyo Electron falls; Advantest tumbles. Chinese AI assistant becomes top-rated app on Apple Store,neutral,0.6020844578742981,https://finance.yahoo.com/news/chinas-deepseek-sets-off-ai-071458375.html
BTC,"MicroStrategy acquired 11,000 BTC on Jan. 21 at an average price of $101,191 per coin.",neutral,0.876939594745636,https://finance.yahoo.com/news/microstrategy-plans-bitcoin-purchase-btc-080120946.html
BTC,"Bitdeer, CleanSpark, Core Scientific given outperform ratings by KBW. Shares of Bitdeer, Core Scientific little changed on Monday",neutral,0.6462451219558716,https://finance.yahoo.com/news/bitcoin-miners-bitdeer-cleanspark-core-092435548.html
BTC,Bitcoin has failed to maintain a foothold above the December high.,negative,0.7771878242492676,https://sg.finance.yahoo.com/news/bitcoin-may-double-topping-price-065246984.html
BTC,We are aware of the issue and are working to resolve it.,neutral,0.7725824117660522,https://finance.yahoo.com/video/why-banks-now-green-light-215347775.html
BTC,"Supply of short-term holders in loss drops to 65%. Bitcoin’s price has risen to $101,099 on CoinMarket",neutral,0.7576373815536499,https://finance.yahoo.com/news/bitcoin-short-term-holders-speculative-074451751.html
BTC,We are aware of the issue and are working to resolve it.,neutral,0.7725824117660522,https://finance.yahoo.com/video/blackrocks-chaudhuri-growing-appeal-gold-150001002.html
BTC,The proposed rule change would allow in-kind creation and redemption. Retail investors are not eligible to participate,negative,0.5008041262626648,https://finance.yahoo.com/news/nasdaq-files-kind-redemptions-blackrock-214733982.html
BTC,Your information may be shared with third parties.,neutral,0.9321518540382385,https://www.google.com/search?q%3Dyahoo%2Bfinance%2BBTC%26tbm%3Dnws%26pccc%3D1
BTC,"Greenlight Capital releases fourth-quarter 2024 investor letter. MicroStrategy returned 14.34% in one month, 663.01% in 52 weeks",neutral,0.637456476688385,https://finance.yahoo.com/news/greenlight-capital-thoughts-bitcoin-microstrategy-142536485.html
BTC,"Bitcoin tumbles as much as 6.5%, the most since Dec. 6; smaller tokens also fall.",negative,0.8159453868865967,https://finance.yahoo.com/news/bitcoin-slips-traders-profits-trump-032048830.html
